authIdHalFullName_fs	authIdHalFullName_fs	halId_s	docType_s	producedDateY_i	fileMain_s	doiId_s
Sylvain Bigot,Albin Ullmann,Olivier Cantat,Elodie Briche	"c(""_FacetSep_Sylvain Bigot"", ""_FacetSep_Albin Ullmann"", ""olivier-cantat_FacetSep_Olivier Cantat"", ""elodie-briche_FacetSep_Elodie Briche"")"	hal-04273242	ART	2023	https://u-bourgogne.hal.science/hal-04273242/document	10.1051/climat/202320001
Carlos López Solano,Imen Turki,Yasser Hamdi,Antoine Soloy,Stéphane Costa,Benoît B. Laignel,Ángel David Gutiérrez Barceló,Nizar Abcha,Delphine Jacono,Robert Lafite	"c(""_FacetSep_Carlos López Solano"", ""imen-turki_FacetSep_Imen Turki"", ""_FacetSep_Yasser Hamdi"", ""antoine-soloy_FacetSep_Antoine Soloy"", ""_FacetSep_Stéphane Costa"", ""benoit-laignel_FacetSep_Benoît B. Laignel"", ""_FacetSep_Ángel David Gutiérrez Barceló"", ""nizar-abcha_FacetSep_Nizar Abcha"", ""_FacetSep_Delphine Jacono"", ""robert-lafite_FacetSep_Robert Lafite"")"	hal-03592045	ART	2022	https://hal.science/hal-03592045/document	10.3390/w14030321
Arnaud Saval,Mathieu Bourgais,Éric Daudé,Pierrick Tranouez	"c(""_FacetSep_Arnaud Saval"", ""mathieu-bourgais_FacetSep_Mathieu Bourgais"", ""eric-daude_FacetSep_Éric Daudé"", ""pierrick-tranouez_FacetSep_Pierrick Tranouez"")"	halshs-04199765	COMM	2023	https://shs.hal.science/halshs-04199765/document	NA
Camille Hochedez,Christophe Imbert,William Berthomiere,Pierre Pistre	"c(""camille-hochedez_FacetSep_Camille Hochedez"", ""sc-imbert_FacetSep_Christophe Imbert"", ""william-berthomiere_FacetSep_William Berthomiere"", ""pierre-pistre_FacetSep_Pierre Pistre"")"	hal-03501545	COMM	2021	https://hal.science/hal-03501545/document	NA
William Rapuc,Julien Bouchez,Pierre Sabatier,Kim Genuite,Jérôme Poulenard,Jérôme Gaillardet,Fabien Arnaud	"c(""william-rapuc_FacetSep_William Rapuc"", ""julien-bouchez_FacetSep_Julien Bouchez"", ""_FacetSep_Pierre Sabatier"", ""kim-genuite_FacetSep_Kim Genuite"", ""jerome-poulenard_FacetSep_Jérôme Poulenard"", ""_FacetSep_Jérôme Gaillardet"", ""fabien-arnaud_FacetSep_Fabien Arnaud"")"	hal-03340528	ART	2021	https://hal.science/hal-03340528/document	10.1016/j.quascirev.2021.107127
François Drémeaux,Clément Fabre	"c(""francois-dremeaux_FacetSep_François Drémeaux"", ""clement-fabre_FacetSep_Clément Fabre"")"	hal-04234210	NOTICE	2023	https://hal.science/hal-04234210/document	NA
Mélody Dumont,Gilles Arnaud-Fassetta,Christopher Gomez,Candide Lissak,Vincent Viel	"c(""melody-dumont_FacetSep_Mélody Dumont"", ""_FacetSep_Gilles Arnaud-Fassetta"", ""christopher-gomez_FacetSep_Christopher Gomez"", ""_FacetSep_Candide Lissak"", ""vincent-viel_FacetSep_Vincent Viel"")"	hal-04285534	COMM	2022	https://hal.science/hal-04285534/document	10.3390/iecg2022-14820
Vincent Siccard,Etienne Edouard Cossart,Christopher Gomez,Candide Lissak	"c(""vincent-siccard_FacetSep_Vincent Siccard"", ""_FacetSep_Etienne Edouard Cossart"", ""christopher-gomez_FacetSep_Christopher Gomez"", ""candide-lissak_FacetSep_Candide Lissak"")"	hal-03777925	POSTER	2021	https://univ-lyon3.hal.science/hal-03777925/document	NA
Mélody Dumont,Christopher Gomez,Gilles Arnaud-Fassetta,Candide Lissak,Vincent Viel	"c(""melody-dumont_FacetSep_Mélody Dumont"", ""_FacetSep_Christopher Gomez"", ""_FacetSep_Gilles Arnaud-Fassetta"", ""_FacetSep_Candide Lissak"", ""vincent-viel_FacetSep_Vincent Viel"")"	hal-04286262	ART	2023	https://hal.science/hal-04286262/document	10.3390/su152115331
Bertrand Lefebvre,Rojina Karki,Renaud Misslin,Kanchana Nakhapakorn,Éric Daudé,Richard E. Paul	"c(""bertrand-lefebvre_FacetSep_Bertrand Lefebvre"", ""_FacetSep_Rojina Karki"", ""_FacetSep_Renaud Misslin"", ""_FacetSep_Kanchana Nakhapakorn"", ""eric-daude_FacetSep_Éric Daudé"", ""richard-paul_FacetSep_Richard E. Paul"")"	halshs-03770080	ART	2022	https://shs.hal.science/halshs-03770080/document	10.3390/ijerph191610123
François Drémeaux,Clément Fabre	"c(""francois-dremeaux_FacetSep_François Drémeaux"", ""clement-fabre_FacetSep_Clément Fabre"")"	hal-04234213	NOTICE	2023	https://hal.science/hal-04234213/document	NA
Olivier Gillet,Eric Daudé,Arnaud Saval,Clément Caron,Sébastien Rey-Coyrehourcq,Patrick Taillandier,Pierrick Tranouez	"c(""olivier-gillet_FacetSep_Olivier Gillet"", ""_FacetSep_Eric Daudé"", ""_FacetSep_Arnaud Saval"", ""_FacetSep_Clément Caron"", ""sebastien-rey-coyrehourcq_FacetSep_Sébastien Rey-Coyrehourcq"", ""patrick-taillandier_FacetSep_Patrick Taillandier"", ""pierrick-tranouez_FacetSep_Pierrick Tranouez"")"	halshs-04199760	COMM	2023	https://shs.hal.science/halshs-04199760/document	NA
Isabelle Blöss-Widmer,Yoann Doignon,Sébastien Oliveau,Elena Ambrosetti	"c(""isabelle-bloss-widmer_FacetSep_Isabelle Blöss-Widmer"", ""yoann-doignon_FacetSep_Yoann Doignon"", ""oliveau_FacetSep_Sébastien Oliveau"", ""_FacetSep_Elena Ambrosetti"")"	hal-04458317	COMM	2023	https://amu.hal.science/hal-04458317/document	NA
Nadia Carluer,Mathieu Fressard	"c(""nadia-carluer_FacetSep_Nadia Carluer"", ""mathieufressard_FacetSep_Mathieu Fressard"")"	hal-04255661	COMM	2023	https://hal.inrae.fr/hal-04255661/document	NA
Loïc Lebreton,Eugène Morin,Brad Gravina,Alexandre Michel,François Bachellerie,Hélène Rougier,Damien Flas,Véronique Laroulandie,Josserand Marot,Hélène Rougier,Elise Tartar,Dominique Todisco,Isabelle Crevecoeur	"c(""loic-lebreton_FacetSep_Loïc Lebreton"", ""_FacetSep_Eugène Morin"", ""_FacetSep_Brad Gravina"", ""_FacetSep_Alexandre Michel"", ""_FacetSep_François Bachellerie"", ""_FacetSep_Hélène Rougier"", ""_FacetSep_Damien Flas"", ""veronique-laroulandie_FacetSep_Véronique Laroulandie"", ""_FacetSep_Josserand Marot"", ""_FacetSep_Hélène Rougier"", ""elise-tartar_FacetSep_Elise Tartar"", ""dominique-todisco_FacetSep_Dominique Todisco"", ""isabelle-crevecoeur_FacetSep_Isabelle Crevecoeur"")"	hal-03447683	ART	2021	https://hal.science/hal-03447683/document	10.3390/quat4040033
Christian Laag,Yohan Guyodo,France Lagroix,Stoil Chapkanski,Diana Jordanova,Neli Jordanova	"c(""_FacetSep_Christian Laag"", ""_FacetSep_Yohan Guyodo"", ""france-lagroix_FacetSep_France Lagroix"", ""stoil-chapkanski_FacetSep_Stoil Chapkanski"", ""_FacetSep_Diana Jordanova"", ""_FacetSep_Neli Jordanova"")"	hal-04076200	COMM	2023	https://hal.science/hal-04076200/document	10.5194/egusphere-egu23-3262
François Beauvais,Olivier Cantat,Patrick Legouee,Philippe Madeline,Sophie Brunel-Muguet,Line Boulonne,Hervé Gaillard,Claudy Jolivet,Marie-Paule Bataille,Mohand Medjkane	"c(""francois-beauvais_FacetSep_François Beauvais"", ""olivier-cantat_FacetSep_Olivier Cantat"", ""_FacetSep_Patrick Legouee"", ""_FacetSep_Philippe Madeline"", ""_FacetSep_Sophie Brunel-Muguet"", ""line-boulonne_FacetSep_Line Boulonne"", ""_FacetSep_Hervé Gaillard"", ""_FacetSep_Claudy Jolivet"", ""_FacetSep_Marie-Paule Bataille"", ""_FacetSep_Mohand Medjkane"")"	hal-03942493	ART	2022	https://hal.science/hal-03942493/document	10.4000/cybergeo.39679
Marie Orange,François-Xavier Le Bourdonnec,Rémi Berthon,Damase Mouralis,Bernard Gratuze,Judith Thomalsky,Akbar Abedi,Catherine Marro	"c(""marie-orange_FacetSep_Marie Orange"", ""francois-xavier-le-bourdonnec_FacetSep_François-Xavier Le Bourdonnec"", ""remi-berthon_FacetSep_Rémi Berthon"", ""damase-mouralis_FacetSep_Damase Mouralis"", ""bernard-gratuze_FacetSep_Bernard Gratuze"", ""_FacetSep_Judith Thomalsky"", ""_FacetSep_Akbar Abedi"", ""catherine-marro_FacetSep_Catherine Marro"")"	hal-03177295	ART	2021	https://hal.science/hal-03177295/document	10.1111/arcm.12660
Yvette Vaguet,Éric Canobbio,Sébastien Gadal,François Moriconi-Ebrard	"c(""yvette-vaguet_FacetSep_Yvette Vaguet"", ""_FacetSep_Éric Canobbio"", ""sebastien-gadal_FacetSep_Sébastien Gadal"", ""francois-moriconi-ebrard_FacetSep_François Moriconi-Ebrard"")"	hal-03699911	REPORT	2022	https://hal.science/hal-03699911/document	NA
Arnaud Saval,Duc Pham Minh,Kevin Chapuis,Pierrick Tranouez,Clément Caron,Éric Daudé,Patrick Taillandier	"c(""_FacetSep_Arnaud Saval"", ""_FacetSep_Duc Pham Minh"", ""_FacetSep_Kevin Chapuis"", ""_FacetSep_Pierrick Tranouez"", ""_FacetSep_Clément Caron"", ""_FacetSep_Éric Daudé"", ""patrick-taillandier_FacetSep_Patrick Taillandier"")"	halshs-04018864	ART	2023	https://shs.hal.science/halshs-04018864/document	10.1371/journal.pone.0281658
Mahamadou Barro,Aristide Relwendé Yaméogo,Robert Darlin Mba,Rémi Kaboré,Germain Mandi,Désiré Lucien Dahourou,Patrice Zabsonré,Nicolas Méda,Juste Aristide Goungounga	"c(""_FacetSep_Mahamadou Barro"", ""_FacetSep_Aristide Relwendé Yaméogo"", ""_FacetSep_Robert Darlin Mba"", ""_FacetSep_Rémi Kaboré"", ""_FacetSep_Germain Mandi"", ""_FacetSep_Désiré Lucien Dahourou"", ""_FacetSep_Patrice Zabsonré"", ""_FacetSep_Nicolas Méda"", ""justegoungounga_FacetSep_Juste Aristide Goungounga"")"	hal-03923267	ART	2022	https://ehesp.hal.science/hal-03923267/document	10.1097/MD.0000000000031147
Léa Mairaville,Damase Mouralis,Dominique Todisco,Stoil Chapkanski,Hervé Richard,Christine Paillès,Jonas Parétias	"c(""lea-mairaville_FacetSep_Léa Mairaville"", ""damase-mouralis_FacetSep_Damase Mouralis"", ""dominique-todisco_FacetSep_Dominique Todisco"", ""stoil-chapkanski_FacetSep_Stoil Chapkanski"", ""_FacetSep_Hervé Richard"", ""christine-pailles_FacetSep_Christine Paillès"", ""jonas-paretias_FacetSep_Jonas Parétias"")"	hal-04367470	POSTER	2023	https://hal.science/hal-04367470/document	NA
C. Nehme,D. Todisco,S.F.M. Breitenbach,Isabelle Couchoud,M. Marchegiano,M. Peral,H. Vonhof,J. Hellstrom,R. Tjallingii,P. Claeys,L. Borrero,F. Martin	"c(""_FacetSep_C. Nehme"", ""_FacetSep_D. Todisco"", ""_FacetSep_S.F.M. Breitenbach"", ""isabelle-couchoud_FacetSep_Isabelle Couchoud"", ""_FacetSep_M. Marchegiano"", ""_FacetSep_M. Peral"", ""_FacetSep_H. Vonhof"", ""_FacetSep_J. Hellstrom"", ""_FacetSep_R. Tjallingii"", ""_FacetSep_P. Claeys"", ""_FacetSep_L. Borrero"", ""_FacetSep_F. Martin"")"	hal-04287379	ART	2023	https://hal.science/hal-04287379/document	10.1016/j.gloplacha.2023.104050
Christian Laag,France Lagroix,Sebastian Kreutzer,Stoil Chapkanski,Christian Zeeden,Yohan Guyodo	"c(""_FacetSep_Christian Laag"", ""_FacetSep_France Lagroix"", ""sebastian-kreutzer_FacetSep_Sebastian Kreutzer"", ""stoil-chapkanski_FacetSep_Stoil Chapkanski"", ""_FacetSep_Christian Zeeden"", ""_FacetSep_Yohan Guyodo"")"	hal-04076280	ART	2023	https://hal.science/hal-04076280/document	10.1016/j.mex.2023.102159
Daniel Ballesteros,Carole Nehme,Bastien Roussel,Francois Delisle,Edwige Pons-Branchu,Damase Mouralis	"c(""_FacetSep_Daniel Ballesteros"", ""_FacetSep_Carole Nehme"", ""_FacetSep_Bastien Roussel"", ""francois-delisle_FacetSep_Francois Delisle"", ""edwige-pons-branchu_FacetSep_Edwige Pons-Branchu"", ""_FacetSep_Damase Mouralis"")"	hal-03566387	ART	2022	https://hal.science/hal-03566387/document	10.1111/arcm.12758
Kevin Chapuis,Taha Amine Elwaqoudi,Arthur Brugière,Éric Daudé,Alexis Drogoul,Benoit Gaudou,Doanh Nguyen-Ngoc,Huynh Quang Nghi,Jean-Daniel Zucker	"c(""_FacetSep_Kevin Chapuis"", ""_FacetSep_Taha Amine Elwaqoudi"", ""_FacetSep_Arthur Brugière"", ""eric-daude_FacetSep_Éric Daudé"", ""_FacetSep_Alexis Drogoul"", ""benoit-gaudou_FacetSep_Benoit Gaudou"", ""_FacetSep_Doanh Nguyen-Ngoc"", ""_FacetSep_Huynh Quang Nghi"", ""jean-daniel-zucker_FacetSep_Jean-Daniel Zucker"")"	hal-03258912	COUV	2021	https://hal.science/hal-03258912/document	10.1007/978-981-16-2629-6_5
Stéphane Jaillet,Laurence Audin,Stéphane Bujan,Gaël Cazes,Armelle Couillet,Alexandre Honiat,Sylvia Lopez,Gaël Monvoisin,Bertrand Quenault,Xavier Robert	"c(""stephane-jaillet_FacetSep_Stéphane Jaillet"", ""audin_FacetSep_Laurence Audin"", ""_FacetSep_Stéphane Bujan"", ""_FacetSep_Gaël Cazes"", ""armelle-couillet_FacetSep_Armelle Couillet"", ""_FacetSep_Alexandre Honiat"", ""_FacetSep_Sylvia Lopez"", ""gael-monvoisin_FacetSep_Gaël Monvoisin"", ""_FacetSep_Bertrand Quenault"", ""_FacetSep_Xavier Robert"")"	hal-04394455	ART	2023	https://hal.science/hal-04394455/document	NA
Ophélie Fovet,Francois Meric,Alain Crave,Jean-Michel Cador,Anne-Julia Rollet	"c(""ophelie-fovet_FacetSep_Ophélie Fovet"", ""_FacetSep_Francois Meric"", ""_FacetSep_Alain Crave"", ""jean-michel-cador_FacetSep_Jean-Michel Cador"", ""anne-juliarollet_FacetSep_Anne-Julia Rollet"")"	insu-04182359	ART	2023	https://insu.hal.science/insu-04182359/document	10.3389/fenvs.2023.1231721
Kevin Chapuis,Pham Minh-Duc,Arthur Brugière,Jean-Daniel Zucker,Alexis Drogoul,Pierrick Tranouez,Éric Daudé,Patrick Taillandier	"c(""_FacetSep_Kevin Chapuis"", ""_FacetSep_Pham Minh-Duc"", ""_FacetSep_Arthur Brugière"", ""_FacetSep_Jean-Daniel Zucker"", ""_FacetSep_Alexis Drogoul"", ""_FacetSep_Pierrick Tranouez"", ""_FacetSep_Éric Daudé"", ""_FacetSep_Patrick Taillandier"")"	halshs-03775837	ART	2022	https://shs.hal.science/halshs-03775837/document	10.1080/13658816.2022.2069774
Arnaud Banos,Nicolas Becu,Thomas Claverie,Ph. Charpentier,Matthieu Jeanson,Gaëlle Lefer Sauvage,Matthieu Le Duff,Esméralda Longépée,Miki Mori,Damienne Provitolo,Georgeta Stoica	"c(""arnaud-banos_FacetSep_Arnaud Banos"", ""nicolas-becu_FacetSep_Nicolas Becu"", ""_FacetSep_Thomas Claverie"", ""_FacetSep_Ph. Charpentier"", ""matthieu-jeanson_FacetSep_Matthieu Jeanson"", ""gaelle-lefer-sauvage_FacetSep_Gaëlle Lefer Sauvage"", ""matthieu-le-duff_FacetSep_Matthieu Le Duff"", ""esmeralda-longepee_FacetSep_Esméralda Longépée"", ""miki-mori_FacetSep_Miki Mori"", ""damienne-provitolo_FacetSep_Damienne Provitolo"", ""_FacetSep_Georgeta Stoica"")"	hal-03634770	REPORT	2022	https://hal.science/hal-03634770/document	NA
Zoé Bessin,Marion Jaud,Pauline Letortu,Emmanuel Vassilakis,Niki Evelpidou,Stéphane Costa,Christophe Delacourt	"c(""zoe-bessin_FacetSep_Zoé Bessin"", ""marion-jaud_FacetSep_Marion Jaud"", ""pauline-letortu_FacetSep_Pauline Letortu"", ""_FacetSep_Emmanuel Vassilakis"", ""_FacetSep_Niki Evelpidou"", ""stephane-costa_FacetSep_Stéphane Costa"", ""_FacetSep_Christophe Delacourt"")"	hal-04215075	ART	2023	https://hal.science/hal-04215075/document	10.3390/rs15153824
Renaud Le Goix,Ronan Ysebaert,Timothée Giraud,Marc Lieury,Guilhem Boulay,Mathieu Coulon,Sébastien Rey-Coyrehourcq,Rémi Lemoy,José J Ramasco,Mattia Mazzoli,Pere Colet,Thierry Theurillat,Alain Segessemann,Szymon Marcińczak,Bartosz Bartosiewicz	"c(""renaud-le-goix_FacetSep_Renaud Le Goix"", ""ronan-ysebaert_FacetSep_Ronan Ysebaert"", ""timothee-giraud_FacetSep_Timothée Giraud"", ""_FacetSep_Marc Lieury"", ""gboulay_FacetSep_Guilhem Boulay"", ""mathieu-coulon_FacetSep_Mathieu Coulon"", ""sebastien-rey-coyrehourcq_FacetSep_Sébastien Rey-Coyrehourcq"", ""_FacetSep_Rémi Lemoy"", ""_FacetSep_José J Ramasco"", ""_FacetSep_Mattia Mazzoli"", ""_FacetSep_Pere Colet"", ""_FacetSep_Thierry Theurillat"", ""_FacetSep_Alain Segessemann"", ""_FacetSep_Szymon Marcińczak"", ""_FacetSep_Bartosz Bartosiewicz"")"	halshs-03370962	ART	2021	https://shs.hal.science/halshs-03370962/document	10.4000/cybergeo.36478
Arthur Glais,Laurent Lespez,José Antonio López-Sáez,Zoi Tsirtsoni,Clément Virmoux,Matthieu Ghilardi,Robert Davidson,Dimitra Malamidou,Kosmas Pavlopoulos	"c(""arthur-glais_FacetSep_Arthur Glais"", ""lespez_FacetSep_Laurent Lespez"", ""_FacetSep_José Antonio López-Sáez"", ""_FacetSep_Zoi Tsirtsoni"", ""clement-virmoux_FacetSep_Clément Virmoux"", ""matthieu-ghilardi_FacetSep_Matthieu Ghilardi"", ""_FacetSep_Robert Davidson"", ""_FacetSep_Dimitra Malamidou"", ""_FacetSep_Kosmas Pavlopoulos"")"	hal-04144667	ART	2023	https://hal.science/hal-04144667/document	10.1016/j.quascirev.2023.108130
Déborah Birre,Thierry Feuillet,Roman Lagalis,Johan Milian,Frédéric Alexandre,David Sheeren,Roberto Serrano-Notivoli,Matthieu Vignal,Maaike Y Bader	"c(""_FacetSep_Déborah Birre"", ""thierry-feuillet_FacetSep_Thierry Feuillet"", ""_FacetSep_Roman Lagalis"", ""_FacetSep_Johan Milian"", ""frederic-alexandre_FacetSep_Frédéric Alexandre"", ""david-sheeren_FacetSep_David Sheeren"", ""_FacetSep_Roberto Serrano-Notivoli"", ""_FacetSep_Matthieu Vignal"", ""_FacetSep_Maaike Y Bader"")"	hal-03942369	ART	2023	https://hal.inrae.fr/hal-03942369/document	10.1007/s10980-022-01589-4
Raphaëlle Krummeich,Sébastien Rey-Coyrehourcq,Hugues Pecout,Konrad Hinsen,Pierre Poulain,Nicolas Sauret,Laurent Mouchard	"c(""raphaelle-krummeich_FacetSep_Raphaëlle Krummeich"", ""sebastien-rey-coyrehourcq_FacetSep_Sébastien Rey-Coyrehourcq"", ""hpecout_FacetSep_Hugues Pecout"", ""konrad-hinsen_FacetSep_Konrad Hinsen"", ""pierre-poulain_FacetSep_Pierre Poulain"", ""nicolas-sauret_FacetSep_Nicolas Sauret"", ""laurent-mouchard_FacetSep_Laurent Mouchard"")"	halshs-04019870	UNDEFINED	2022	https://shs.hal.science/halshs-04019870/document	NA
Thierry Feuillet,Etienne Edouard Cossart,Hélène Charreire,Arnaud Banos,Hugo Pilkington,Virginie Chasles,Serge Hercberg,Mathilde Touvier,Jean-Michel Oppert	"c(""thierry-feuillet_FacetSep_Thierry Feuillet"", ""_FacetSep_Etienne Edouard Cossart"", ""helene-charreire_FacetSep_Hélène Charreire"", ""arnaud-banos_FacetSep_Arnaud Banos"", ""_FacetSep_Hugo Pilkington"", ""virginie-chasles_FacetSep_Virginie Chasles"", ""_FacetSep_Serge Hercberg"", ""_FacetSep_Mathilde Touvier"", ""_FacetSep_Jean-Michel Oppert"")"	hal-04378995	UNDEFINED	2024	https://hal.science/hal-04378995/document	NA
Dominique Todisco,Carolina Mallol,Christelle Lahaye,Guillaume Guérin,François Bachellerie,Eugène Morin,Brad Gravina,Amélie Challier,Cédric Beauval,Jean-Guillaume Bordes,Céline Colange,Laure Dayet,Damien Flas,François Lacrampe-Cuyaubère,Loïc Lebreton,Josserand Marot,Bruno Maureille,Alexandre Michel,Xavier Muth,Carole Nehme,Solange Rigaud,Elise Tartar,Nicolas Teyssandier,Marc Thomas,Hélène Rougier,Isabelle Crevecoeur	"c(""dominique-todisco_FacetSep_Dominique Todisco"", ""_FacetSep_Carolina Mallol"", ""_FacetSep_Christelle Lahaye"", ""guillaume-guerin_FacetSep_Guillaume Guérin"", ""_FacetSep_François Bachellerie"", ""_FacetSep_Eugène Morin"", ""_FacetSep_Brad Gravina"", ""_FacetSep_Amélie Challier"", ""_FacetSep_Cédric Beauval"", ""_FacetSep_Jean-Guillaume Bordes"", ""_FacetSep_Céline Colange"", ""_FacetSep_Laure Dayet"", ""_FacetSep_Damien Flas"", ""_FacetSep_François Lacrampe-Cuyaubère"", ""_FacetSep_Loïc Lebreton"", ""_FacetSep_Josserand Marot"", ""_FacetSep_Bruno Maureille"", ""_FacetSep_Alexandre Michel"", ""_FacetSep_Xavier Muth"", ""carole-nehme_FacetSep_Carole Nehme"", ""_FacetSep_Solange Rigaud"", ""elise-tartar_FacetSep_Elise Tartar"", ""nicolas-teyssandier_FacetSep_Nicolas Teyssandier"", ""_FacetSep_Marc Thomas"", ""_FacetSep_Hélène Rougier"", ""isabelle-crevecoeur_FacetSep_Isabelle Crevecoeur"")"	hal-04205541	ART	2023	https://hal.science/hal-04205541/document	10.1016/j.quascirev.2023.108218
Sylvain Soriano,Nelson Ahmed-Delacroix,Aurélia Borvon,Benoît Chevrier,Éva David,Mélina Dessoles,Jean-Marc Elalouf,Jean-Philippe Faivre,Philippe Forré,Guillaume Guérin,Christelle Lahaye,Loïc Lebreton,Vincent Lhomme,Marine Massoulié,Benoît Mellier,Jérôme Primault,Michel Rasse,Noémie Sévêque,Dominique Todisco,José Utge,Christine Verna,Bénédicte Voeltzel	"c(""sylvain-soriano_FacetSep_Sylvain Soriano"", ""eric-nelson-ahmed-delacroix_FacetSep_Nelson Ahmed-Delacroix"", ""_FacetSep_Aurélia Borvon"", ""_FacetSep_Benoît Chevrier"", ""_FacetSep_Éva David"", ""_FacetSep_Mélina Dessoles"", ""_FacetSep_Jean-Marc Elalouf"", ""_FacetSep_Jean-Philippe Faivre"", ""_FacetSep_Philippe Forré"", ""guillaume-guerin_FacetSep_Guillaume Guérin"", ""_FacetSep_Christelle Lahaye"", ""loic-lebreton_FacetSep_Loïc Lebreton"", ""_FacetSep_Vincent Lhomme"", ""_FacetSep_Marine Massoulié"", ""_FacetSep_Benoît Mellier"",  ""_FacetSep_Jérôme Primault"", ""_FacetSep_Michel Rasse"", ""_FacetSep_Noémie Sévêque"", ""_FacetSep_Dominique Todisco"", ""_FacetSep_José Utge"", ""_FacetSep_Christine Verna"", ""_FacetSep_Bénédicte Voeltzel"")"	hal-03390460	ART	2021	https://hal.science/hal-03390460/document	10.4000/galliap.2633
Hélène Charreire,Benoit Conti,Lucile Bauchard, Ndèye Aïta Cissé,Marlène Perignon, Pascaline Rollet, Coline Perrin, Sophie Blanchard,Céline Roda,Thierry Feuillet,Malika Madelin,Vincent Dupuis,Anne-Sophie Evrard, Anne-Peggy,Hellequin,Isabelle Coll,Corinne Larrue,Sophie Baudet-Michel,Gabrielle Vernouillet,Fernande Ntsame-Abegue,Isabelle Fabre,Caroline Méjean,Jean‐michel Oppert,Urbasanté Study Group	"c(""helene-charreire_FacetSep_Hélène Charreire"", ""benoit-conti_FacetSep_Benoit Conti"", ""_FacetSep_Lucile Bauchard"", ""_FacetSep_Ndèye Aïta Cissé"", ""marlene-perignon_FacetSep_Marlène Perignon"", ""pascaline-rollet_FacetSep_Pascaline Rollet"", ""coline-perrin_FacetSep_Coline Perrin"", ""sophieblanchard_FacetSep_Sophie Blanchard"", ""_FacetSep_Céline Roda"", ""thierry-feuillet_FacetSep_Thierry Feuillet"", ""malika-madelin_FacetSep_Malika Madelin"", ""_FacetSep_Vincent Dupuis"", ""anne-sophie-evrard_FacetSep_Anne-Sophie Evrard"", ""anne-peggy-hellequin_FacetSep_Anne-Peggy Hellequin"", ""_FacetSep_Isabelle Coll"", ""_FacetSep_Corinne Larrue"", ""sophie-baudet-michel_FacetSep_Sophie Baudet-Michel"", ""_FacetSep_Gabrielle Vernouillet"", ""_FacetSep_Fernande Ntsame-Abegue"", ""_FacetSep_Isabelle Fabre"", ""caroline-mejean_FacetSep_Caroline Méjean"", ""_FacetSep_Jean‐michel Oppert"", ""_FacetSep_Urbasanté Study Group"")"	hal-04032915	ART	2023	https://hal.inrae.fr/hal-04032915/document	10.1186/s12889-023-15388-2
